model,persona_type,persona_id,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_runs
gpt_oss_120b,persona,hindu,0.5333333333333333,0.01517307556898807,0.5416631129276072,0.015592874832783323,0.4908945448235338,0.011743431780757206,0.5633333333333334,0.010873004286866684,0.618,0.015748015748023637,0.2502768549280177,0.0015661279760499362,0.34330011074197125,0.02209295386850499,0.5511111111111111,0.012570787221094207,3
mistral_medium,baseline,baseline,0.4746666666666666,0.007717224601860131,0.468018235840298,0.011088105528197702,0.4559880131254941,0.007509794345783584,0.64,0.017204650534085267,0.7173333333333334,0.012472191289246483,0.31893687707641194,0.00813783967702051,0.3853820598006645,0.007176899998236829,0.4177777777777778,0.012570787221094181,3
mistral_medium,persona,15,0.4466666666666667,0.0041096093353126546,0.4401133901739625,0.0009096640244146571,0.44717884693461823,0.003360127183912791,0.5926666666666667,0.011813363431112911,0.6686666666666667,0.003399346342395193,0.19158361018826134,0.011293509443173394,0.5703211517165007,0.010269787924137007,0.37777777777777777,0.016629588385661975,3
mistral_medium,persona,35,0.45758183032732136,0.0052598582992730925,0.45342166045647625,0.007928614261266115,0.4530299322029196,0.005031611831126486,0.5918503674014697,0.009011848739633972,0.6680026720106881,0.006194801934198873,0.20888888888888887,0.0015713484026367692,0.5322222222222223,0.008748897637790897,0.39111111111111113,0.0062853936105471036,3
mistral_medium,persona,65,0.404300550779424,0.004291547328395456,0.39107382313026307,0.00938104024152544,0.4112565133133725,0.004531972595492195,0.60711474232601,0.010897555262223309,0.70651247552656,0.009094620812634537,0.1843746924181707,0.008489889972452347,0.627939578374361,0.003595257846943176,0.38222222222222224,0.012570787221094181,3
mistral_medium,persona,no_formal_education,0.49933333333333335,0.003399346342395193,0.5196048009519583,0.0017109767088943865,0.49736079969467734,0.0023488954351590973,0.4686666666666666,0.011469767022723489,0.5966666666666667,0.006798692684790386,0.15946843853820597,0.012430755437787183,0.4916943521594684,0.015103191248046361,0.29777777777777775,0.016629588385661954,3
mistral_medium,persona,high_school_education,0.4673333333333333,0.007717224601860131,0.4784434836509601,0.006910922323366942,0.4753563043162954,0.007525215595803689,0.5133333333333333,0.0037712361663282566,0.6146666666666666,0.004988876515698593,0.1362126245847176,0.007176899998236832,0.583610188261351,0.012231850517372418,0.3244444444444445,0.027397395568751,3
mistral_medium,persona,higher_education,0.45733333333333337,0.006182412330330475,0.4548677497158133,0.009056556829464974,0.451991316923484,0.0036823918342635525,0.5926666666666667,0.0041096093353126546,0.6593333333333334,0.0024944382578492965,0.1937984496124031,0.006264511904199758,0.5459579180509412,0.0207179257296453,0.4266666666666667,0.018856180831641256,3
mistral_medium,persona,male,0.48,0.007483314773547889,0.49554701393928013,0.007673231425675129,0.48340425613143795,0.006072986860773361,0.5006666666666667,0.0041096093353126546,0.6033333333333334,0.005734883511361756,0.13842746400885936,0.0031322559520998725,0.5548172757475083,0.012430755437787173,0.3422222222222222,0.012570787221094181,3
mistral_medium,persona,female,0.43333333333333335,0.0037712361663282566,0.42038604674203256,0.0052059487779219414,0.4284941015388555,0.004015734621781703,0.6353333333333334,0.0024944382578492965,0.6913333333333332,0.004714045207910321,0.2070874861572536,0.0015661279760499493,0.5736434108527132,0.004143585145929087,0.4577777777777778,0.0062853936105471036,3
mistral_medium,persona,not_lonely,0.5293333333333333,0.005249338582674546,0.5538718193966156,0.005474930103315005,0.523178489952067,0.005583690792078137,0.4346666666666667,0.004714045207910321,0.552,0.007483314773547889,0.13510520487264674,0.004143585145929066,0.4739756367663344,0.0015661279760499495,0.3022222222222222,0.0062853936105470775,3
mistral_medium,persona,somewhat_lonely,0.46799999999999997,0.01177568115510378,0.4822415020458594,0.012758510605637482,0.4761124849769003,0.011515007062536156,0.5,0.008164965809277268,0.6146666666666666,0.014817407180595259,0.13732004429678846,0.005646754721586697,0.5736434108527132,0.008287170291858135,0.3111111111111111,0.012570787221094181,3
mistral_medium,persona,left-wing,0.41333333333333333,0.0037712361663282566,0.37937211532952636,0.003715194278227796,0.3889058059991606,0.004578159706915271,0.7713333333333333,0.004988876515698593,0.7913333333333333,0.0037712361663282566,0.33997785160575855,0.006264511904199771,0.4695459579180509,0.004143585145929062,0.5955555555555555,0.01662958838566193,3
mistral_medium,persona,right-wing,0.4653333333333333,0.004714045207910295,0.4836303287765292,0.0035355168000193796,0.4689591321822568,0.0025330656714646505,0.46866666666666673,0.00524933858267452,0.638,0.002828427124746193,0.16057585825027687,0.008719831532681958,0.5271317829457364,0.01338100329301723,0.28444444444444444,0.012570787221094181,3
mistral_medium,persona,centrist,0.45,0.014142135623730965,0.4808209031769408,0.01779209670365721,0.4797783151051256,0.012191923387268735,0.418,0.012961481396815714,0.582,0.015577761927397245,0.053156146179402,0.0027126132256735094,0.6677740863787376,0.018988292579714548,0.22666666666666668,0.010886621079036337,3
