model,persona_type,persona_id,subgroup,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_samples_mean,n_runs
mistral_medium,persona,atheist,none,0.41723356009070295,0.008927446569174382,0.5277487074517376,0.00882075295447981,0.3025542746728728,0.0036492841245686102,0.671201814058957,0.008017083686922315,0.7120181405895692,0.008017083686922315,0.14107365792759052,0.006365817120590246,0.4606741573033708,0.013329685707904266,0.2777777777777778,0.0,294.0,3
mistral_medium,persona,hindu,none,0.24603174603174605,0.008484483870235692,0.31893389334658107,0.01193800747495613,0.20651257331496328,0.0054071802049912975,0.9240362811791383,0.013124531635816596,0.9489795918367347,0.015462791039666472,0.21473158551810237,0.011577551180394132,0.581772784019975,0.012358920020738639,0.29629629629629634,0.02618914004394619,294.0,3
mistral_medium,baseline,baseline,all,0.4746666666666666,0.007717224601860131,0.468018235840298,0.011088105528197702,0.4559880131254941,0.007509794345783584,0.64,0.017204650534085267,0.7173333333333334,0.012472191289246483,0.31893687707641194,0.00813783967702051,0.3853820598006645,0.007176899998236829,0.4177777777777778,0.012570787221094181,500.0,3
mistral_medium,persona,15,all,0.4466666666666667,0.0041096093353126546,0.4401133901739625,0.0009096640244146571,0.44717884693461823,0.003360127183912791,0.5926666666666667,0.011813363431112911,0.6686666666666667,0.003399346342395193,0.19158361018826134,0.011293509443173394,0.5703211517165007,0.010269787924137007,0.37777777777777777,0.016629588385661975,500.0,3
mistral_medium,persona,35,all,0.45758183032732136,0.0052598582992730925,0.45342166045647625,0.007928614261266115,0.4530299322029196,0.005031611831126486,0.5918503674014697,0.009011848739633972,0.6680026720106881,0.006194801934198873,0.20888888888888887,0.0015713484026367692,0.5322222222222223,0.008748897637790897,0.39111111111111113,0.0062853936105471036,499.0,3
mistral_medium,persona,65,all,0.404300550779424,0.004291547328395456,0.39107382313026307,0.00938104024152544,0.4112565133133725,0.004531972595492195,0.60711474232601,0.010897555262223309,0.70651247552656,0.009094620812634537,0.1843746924181707,0.008489889972452347,0.627939578374361,0.003595257846943176,0.38222222222222224,0.012570787221094181,496.3333333333333,3
mistral_medium,persona,no_formal_education,all,0.49933333333333335,0.003399346342395193,0.5196048009519583,0.0017109767088943865,0.49736079969467734,0.0023488954351590973,0.4686666666666666,0.011469767022723489,0.5966666666666667,0.006798692684790386,0.15946843853820597,0.012430755437787183,0.4916943521594684,0.015103191248046361,0.29777777777777775,0.016629588385661954,500.0,3
mistral_medium,persona,high_school_education,all,0.4673333333333333,0.007717224601860131,0.4784434836509601,0.006910922323366942,0.4753563043162954,0.007525215595803689,0.5133333333333333,0.0037712361663282566,0.6146666666666666,0.004988876515698593,0.1362126245847176,0.007176899998236832,0.583610188261351,0.012231850517372418,0.3244444444444445,0.027397395568751,500.0,3
mistral_medium,persona,higher_education,all,0.45733333333333337,0.006182412330330475,0.4548677497158133,0.009056556829464974,0.451991316923484,0.0036823918342635525,0.5926666666666667,0.0041096093353126546,0.6593333333333334,0.0024944382578492965,0.1937984496124031,0.006264511904199758,0.5459579180509412,0.0207179257296453,0.4266666666666667,0.018856180831641256,500.0,3
mistral_medium,persona,male,all,0.48,0.007483314773547889,0.49554701393928013,0.007673231425675129,0.48340425613143795,0.006072986860773361,0.5006666666666667,0.0041096093353126546,0.6033333333333334,0.005734883511361756,0.13842746400885936,0.0031322559520998725,0.5548172757475083,0.012430755437787173,0.3422222222222222,0.012570787221094181,500.0,3
mistral_medium,persona,female,all,0.43333333333333335,0.0037712361663282566,0.42038604674203256,0.0052059487779219414,0.4284941015388555,0.004015734621781703,0.6353333333333334,0.0024944382578492965,0.6913333333333332,0.004714045207910321,0.2070874861572536,0.0015661279760499493,0.5736434108527132,0.004143585145929087,0.4577777777777778,0.0062853936105471036,500.0,3
mistral_medium,persona,not_lonely,all,0.5293333333333333,0.005249338582674546,0.5538718193966156,0.005474930103315005,0.523178489952067,0.005583690792078137,0.4346666666666667,0.004714045207910321,0.552,0.007483314773547889,0.13510520487264674,0.004143585145929066,0.4739756367663344,0.0015661279760499495,0.3022222222222222,0.0062853936105470775,500.0,3
