model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
mistral_medium,r1,BY,25_m_l,0.5219452684391545,0.41064638783269963,263,0,263
mistral_medium,r1,BY,25_m_w,0.5126266689933714,0.39923954372623577,263,0,263
mistral_medium,r1,BY,25_f_b,0.5157214890369091,0.39923954372623577,263,0,263
mistral_medium,r1,BY,25_f_l,0.519636629333143,0.4144486692015209,263,0,263
mistral_medium,r1,BY,25_f_w,0.5167519863906224,0.3916349809885932,263,0,263
mistral_medium,r1,BY,45_m_b,0.5184394407419001,0.39543726235741444,263,0,263
mistral_medium,r1,BY,45_m_l,0.5170164660714476,0.39543726235741444,263,0,263
mistral_medium,r1,BY,45_m_w,0.5243091554755906,0.40304182509505704,263,0,263
mistral_medium,r1,BY,45_f_b,0.5215944518461514,0.41825095057034223,263,0,263
mistral_medium,r1,BY,45_f_l,0.516745192473678,0.39923954372623577,263,0,263
mistral_medium,r1,BY,45_f_w,0.5240479526057307,0.4144486692015209,263,0,263
mistral_medium,r1,LO,25_m_b,0.5401002605822478,0.35361216730038025,263,0,263
mistral_medium,r1,LO,25_m_l,0.5392327165686703,0.3574144486692015,263,0,263
mistral_medium,r1,LO,25_m_w,0.5276712476620911,0.33460076045627374,263,0,263
mistral_medium,r1,LO,25_f_b,0.5306429119252494,0.34980988593155893,263,0,263
mistral_medium,r1,LO,25_f_l,0.5339073717401532,0.34600760456273766,263,0,263
mistral_medium,r1,LO,25_f_w,0.5323970932133704,0.33460076045627374,263,0,263
mistral_medium,r1,LO,45_m_b,0.5330374818391409,0.34980988593155893,263,0,263
mistral_medium,r1,LO,45_m_l,0.5398924973920786,0.34980988593155893,263,0,263
mistral_medium,r1,LO,45_m_w,0.5409903819271175,0.35361216730038025,263,0,263
mistral_medium,r1,LO,45_f_b,0.5378394748211265,0.3612167300380228,263,0,263
mistral_medium,r1,LO,45_f_l,0.5411282316502732,0.34600760456273766,263,0,263
mistral_medium,r1,LO,45_f_w,0.5433030449579428,0.3574144486692015,263,0,263
mistral_medium,r1,LY,25_m_b,0.5607204495596352,0.4220532319391635,263,0,263
mistral_medium,r1,LY,25_m_l,0.5637935031609984,0.4220532319391635,263,0,263
mistral_medium,r1,LY,25_m_w,0.5522373840032081,0.41825095057034223,263,0,263
mistral_medium,r1,LY,25_f_b,0.5593530790520084,0.4220532319391635,263,0,263
mistral_medium,r1,LY,25_f_l,0.5657364810571953,0.4448669201520912,263,0,263
mistral_medium,r1,LY,25_f_w,0.5567711478243604,0.4296577946768061,263,0,263
mistral_medium,r1,LY,45_m_b,0.5557100005042297,0.39923954372623577,263,0,263
mistral_medium,r1,LY,45_m_l,0.5578944554171378,0.4372623574144487,263,0,263
mistral_medium,r1,LY,45_m_w,0.5601188494778102,0.42585551330798477,263,0,263
mistral_medium,r1,LY,45_f_b,0.5613774472059265,0.4372623574144487,263,0,263
mistral_medium,r1,LY,45_f_l,0.5626153086338532,0.43346007604562736,263,0,263
mistral_medium,r1,LY,45_f_w,0.5583003394508456,0.4220532319391635,263,0,263
mistral_medium,r1,WO,25_m_b,0.6271699007017056,0.55893536121673,263,0,263
mistral_medium,r1,WO,25_m_l,0.6306010041642988,0.5513307984790875,263,0,263
mistral_medium,r1,WO,25_m_w,0.6237850139406242,0.5399239543726235,263,0,263
mistral_medium,r1,WO,25_f_b,0.6295558923757334,0.532319391634981,263,0,263
mistral_medium,r1,WO,25_f_l,0.6273872516453622,0.5437262357414449,263,0,263
mistral_medium,r1,WO,25_f_w,0.6255722529278305,0.5399239543726235,263,0,263
mistral_medium,r1,WO,45_m_b,0.6296606319806433,0.5437262357414449,263,0,263
mistral_medium,r1,WO,45_m_l,0.6315953949646393,0.5513307984790875,263,0,263
mistral_medium,r1,WO,45_m_w,0.6335513427792584,0.5399239543726235,263,0,263
mistral_medium,r1,WO,45_f_b,0.6275343744545603,0.5437262357414449,263,0,263
mistral_medium,r1,WO,45_f_l,0.6380700137506884,0.5665399239543726,263,0,263
mistral_medium,r1,WO,45_f_w,0.6331099825552641,0.5513307984790875,263,0,263
mistral_medium,r1,WY,25_m_b,0.563337596075239,0.41825095057034223,263,0,263
mistral_medium,r1,WY,25_m_l,0.5677182466656152,0.4068441064638783,263,0,263
mistral_medium,r1,WY,25_m_w,0.5575569491401344,0.40304182509505704,263,0,263
mistral_medium,r1,WY,25_f_b,0.5594898602291276,0.4144486692015209,263,0,263
